,app_name,developer,discount_price,early_access,genres,id,metascore,n_reviews,price,publisher,release_date,reviews_url,sentiment,specs,tags,title,url
54,Yakuza Kiwami 2,"SEGAPublisher:SEGAFranchise:YakuzaRelease Date: 9 May, 2019",,False,"['Action', 'Adventure', 'RPG']",927380,81.0,269,2999€,"Developer:SEGASEGAFranchise:YakuzaRelease Date: 9 May, 2019","Developer:SEGAPublisher:SEGAFranchise:Yakuza 9 May, 2019",http://steamcommunity.com/app/927380/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['Action', 'Adventure', 'RPG', 'Sexual Content', 'Violent', 'Story Rich', ""Beat 'em up"", 'Great Soundtrack', 'Singleplayer', 'Crime', 'Comedy', 'Minigames', 'Open World']",Yakuza Kiwami 2,https://store.steampowered.com/app/927380/Yakuza_Kiwami_2/
105,Demonheart,"Rolling CrownPublisher:Rolling CrownFranchise:DemonheartRelease Date: 24 Mar, 2017",,False,"['Adventure', 'Casual', 'RPG', 'Simulation']",578900,,194,2199€,"Developer:Rolling CrownRolling CrownFranchise:DemonheartRelease Date: 24 Mar, 2017","Developer:Rolling CrownPublisher:Rolling CrownFranchise:Demonheart 24 Mar, 2017",http://steamcommunity.com/app/578900/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Steam Trading Cards', 'Steam Cloud']","['Adventure', 'Visual Novel', 'Otome', 'Female Protagonist', 'RPG', 'Simulation', 'Choose Your Own Adventure', 'Romance', 'Casual', 'Dark Fantasy', 'Dating Sim', 'Story Rich', 'Demons', 'Medieval', 'Villain Protagonist', 'Fantasy', 'Interactive Fiction', 'Dark', 'Replay Value', 'Episodic']",Demonheart,https://store.steampowered.com/app/578900/Demonheart/
114,Rise of Industry,"Dapper Penguin StudiosPublisher:Kasedo GamesRelease Date: 2 May, 2019",,False,"['Indie', 'Simulation', 'Strategy']",671440,69.0,1240,2999€,"Developer:Dapper Penguin StudiosKasedo GamesRelease Date: 2 May, 2019","Developer:Dapper Penguin StudiosPublisher:Kasedo Games 2 May, 2019",http://steamcommunity.com/app/671440/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Cloud']","['Management', 'Economy', 'Strategy', 'Simulation', 'Resource Management', 'City Builder', 'Indie', 'Trading', 'Base Building', 'Early Access']",Rise of Industry,https://store.steampowered.com/app/671440/Rise_of_Industry/
118,Pandemic Express - Zombie Escape,"TALLBOYS, tinyBuildPublisher:tinyBuildRelease Date: 2 May, 2019",824€,True,"['Action', 'Indie', 'Massively Multiplayer', 'Early Access']",939510,,782,1249€,"Developer:TALLBOYS, tinyBuildtinyBuildRelease Date: 2 May, 2019","Developer:TALLBOYS, tinyBuildPublisher:tinyBuild 2 May, 2019",http://steamcommunity.com/app/939510/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Multi-player', 'Online Multi-Player']","['Early Access', 'Action', 'Zombies', 'Massively Multiplayer', 'Indie', 'Early Access', 'Multiplayer', 'Survival', 'Horror', 'Shooter', 'Parkour', 'First-Person']",Pandemic Express - Zombie Escape,https://store.steampowered.com/app/939510/Pandemic_Express__Zombie_Escape/
154,KurtzPel,"KOGPublisher:KOGRelease Date: 30 Apr, 2019",,True,"['Action', 'Free to Play', 'Early Access']",844870,,1967,Free To Play,"Developer:KOGKOGRelease Date: 30 Apr, 2019","Developer:KOGPublisher:KOG 30 Apr, 2019",http://steamcommunity.com/app/844870/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Online Multi-Player', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'In-App Purchases']","['Early Access', 'Anime', 'Character Customization', 'Action', 'MMORPG', 'Multiplayer', 'Early Access', 'PvP', 'Fantasy', 'Third Person', 'Fighting', 'Co-op', 'Free to Play', 'Hack and Slash', 'Competitive', 'Controller', 'Character Action Game', 'PvE', 'RPG', 'Open World']",KurtzPel,https://store.steampowered.com/app/844870/KurtzPel/
160,Fade to Silence,"Black Forest GamesPublisher:THQ NordicRelease Date: 30 Apr, 2019",,False,['RPG'],706020,,549,3999€,"Developer:Black Forest GamesTHQ NordicRelease Date: 30 Apr, 2019","Developer:Black Forest GamesPublisher:THQ Nordic 30 Apr, 2019",http://steamcommunity.com/app/706020/reviews/?browsefilter=mostrecent&p=1,Mixed,"['Single-player', 'Multi-player', 'Online Multi-Player', 'Co-op', 'Online Co-op', 'Steam Achievements', 'Full controller support', 'Steam Cloud']","['Survival', 'RPG', 'Open World', 'Crafting', 'Singleplayer', 'Lovecraftian', 'Online Co-Op', 'Base Building', 'Third Person', 'Horror', 'Survival Horror', 'Multiplayer', 'Resource Management', 'Co-op', 'Action', 'Post-apocalyptic', 'Early Access', 'Snow', 'Dark', 'Adventure']",Fade to Silence,https://store.steampowered.com/app/706020/Fade_to_Silence/
161,Fell Seal: Arbiter's Mark,"6 Eyes StudioPublisher:1C EntertainmentFranchise:1CRelease Date: 30 Apr, 2019",,False,"['Indie', 'RPG', 'Strategy']",699170,85.0,565,2499€,"Developer:6 Eyes Studio1C EntertainmentFranchise:1CRelease Date: 30 Apr, 2019","Developer:6 Eyes StudioPublisher:1C EntertainmentFranchise:1C 30 Apr, 2019",http://steamcommunity.com/app/699170/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Achievements', 'Full controller support', 'Steam Trading Cards', 'Steam Cloud']","['RPG', 'Turn-Based Tactics', 'Strategy', 'Indie', 'Turn-Based Combat', 'Singleplayer', 'Turn-Based Strategy', 'Fantasy', 'Strategy RPG', 'Tactical RPG', 'Turn-Based', 'Character Customization', 'Tactical', 'Isometric', 'Female Protagonist', 'Class-Based', 'Controller', '2D', 'Story Rich', 'Kickstarter']",Fell Seal: Arbiter's Mark,https://store.steampowered.com/app/699170/Fell_Seal_Arbiters_Mark/
175,人间 The Lost We Lost,"白露社Publisher:PeriScope GameRelease Date: 30 Apr, 2019",,False,"['Adventure', 'Casual', 'Indie', 'Simulation']",1057680,,249,329€,"Developer:白露社PeriScope GameRelease Date: 30 Apr, 2019","Developer:白露社Publisher:PeriScope Game 30 Apr, 2019",http://steamcommunity.com/app/1057680/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Steam Cloud']","['Nudity', 'Adventure', 'Indie', 'Casual', 'Simulation', 'Visual Novel', 'Anime']",人间 The Lost We Lost,https://store.steampowered.com/app/1057680/_The_Lost_We_Lost/
222,Dark Devotion,"Hibernian WorkshopPublisher:The Arcade Crew, Maple Whispering LimitedRelease Date: 25 Apr, 2019",,False,"['Action', 'Adventure', 'Indie', 'RPG']",718590,71.0,331,1999€,"Developer:Hibernian WorkshopThe Arcade Crew, Maple Whispering LimitedRelease Date: 25 Apr, 2019","Developer:Hibernian WorkshopPublisher:The Arcade Crew, Maple Whispering Limited 25 Apr, 2019",http://steamcommunity.com/app/718590/reviews/?browsefilter=mostrecent&p=1,Mostly Positive,"['Single-player', 'Steam Achievements', 'Full controller support']","['Action', 'RPG', 'Indie', 'Adventure', 'Souls-like', 'Pixel Graphics', 'Violent', 'Metroidvania', 'Gore', '2D', 'Female Protagonist', 'Rogue-like', 'Side Scroller']",Dark Devotion,https://store.steampowered.com/app/718590/Dark_Devotion/
257,Assassin’s CreedⓇ Odyssey - The Fate of Atlantis,"Ubisoft Quebec, Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Singapore, Ubisoft Montpellier, Ubisoft Kiev, Ubisoft ShanghaiFranchise:Assassin's CreedRelease Date: 23 Apr, 2019",,False,"['Action', 'Adventure', 'RPG']",937892,,102,2499€,,"Developer:Ubisoft Quebec, Ubisoft Montreal, Ubisoft Bucharest, Ubisoft Singapore, Ubisoft Montpellier, Ubisoft Kiev, Ubisoft ShanghaiFranchise:Assassin's Creed 23 Apr, 2019",http://steamcommunity.com/app/937892/reviews/?browsefilter=mostrecent&p=1,Very Positive,"['Single-player', 'Downloadable Content', 'Steam Trading Cards', 'Captions available', 'In-App Purchases', 'Partial Controller Support']","['Action', 'Adventure', 'RPG']",Assassin’s CreedⓇ Odyssey - The Fate of Atlantis,https://store.steampowered.com/app/937892/Assassins_Creed_Odyssey__The_Fate_of_Atlantis/
